Prp,Dsg,Avl,Shp,Grp,Use,D,B,T,W,BT,HW,K,K1,Dnom,Mass,A,Ix,Sx,Rx,Zx,Iy,Sy,Ry,Zy,J,Cw,Wn,Sw,Qf,Qw,SA,Ds_i,Dn_i,Wt_i
,,,,,,,,,,,,,,,,,10^6,10^3,,10^3,10^6,10^3,,10^3,10^3,10^9,,10^6,10^3,10^3,,,,
W: Wide-Flange Shapes,,,,,,mm,mm,mm,mm,,,mm,mm,mm,kg/m,mm^2,mm^4,mm^3,mm,mm^3,mm^4,mm^3,mm,mm^3,mm^4,mm^6,mm^2,mm^4,mm^3,mm^3,m,,in,lb/ft
*,W1100x499,*,1,,3,1118,405,45,25.9,4.5,39.7,67,33,1100,499,63400,12900,23100,452,26600,500,2470,88.8,3870,31000,144000,109000,495,4580,13200,3.8,W44x335,44,335
,W1100x433,*,1,,3,1108,402,40.1,22.1,5.01,46.5,62,31,1100,433,55300,11300,20400,452,23200,435,2170,88.7,3370,21400,124000,107000,433,4070,11500,3.78,W44x290,44,290
,W1100x390,*,1,,3,1100,400,36.1,20.1,5.54,51.1,58,30,1100,390,49900,10100,18300,450,20800,386,1930,87.9,3000,15700,109000,106000,384,3650,10300,3.76,W44x262,44,262
,W1100x343,*,1,,3,1090,400,31,18,6.45,57.1,53,29,1100,343,43600,8670,15900,446,18100,331,1660,87.1,2570,10300,92900,106000,328,3140,8940,3.74,W44x230,44,230
*,W1000x883,*,1,,3,1092,424,82,45.5,2.59,20.4,114,53,1000,883,113000,21000,38400,432,45300,1050,4950,96.6,7870,185000,268000,107000,931,7840,22500,3.79,W40x593,40,593
,W1000x748,*,1,,3,1068,417,70.1,39.1,2.97,23.7,102,50,1000,748,95500,17300,32500,426,37900,852,4090,94.5,6470,116000,212000,104000,760,6610,18800,3.73,W40x503,40,503
,W1000x642,*,1,,3,1048,412,59.9,34,3.44,27.3,91,47,1000,642,81700,14500,27700,421,32100,702,3410,92.7,5370,73500,171000,102000,628,5590,15900,3.68,W40x431,40,431
,W1000x591,*,1,,3,1040,409,55.9,31,3.66,29.9,87,46,1000,591,75300,13300,25600,421,29500,640,3130,92.2,4920,59000,155000,101000,575,5200,14600,3.65,W40x397,40,397
,W1000x554,*,1,,3,1032,408,52.1,29.5,3.92,31.5,84,45,1000,554,70700,12300,23900,418,27500,592,2900,91.5,4550,48600,142000,99900,531,4830,13600,3.64,W40x372,40,372
,W1000x539,*,1,,3,1030,407,51.1,28.4,3.98,32.7,83,44,1000,539,68700,12000,23400,418,26800,576,2830,91.6,4440,45300,138000,99600,518,4730,13200,3.63,W40x362,40,362
,W1000x483,*,1,,3,1020,404,46,25.4,4.39,36.5,78,43,1000,483,61500,10700,20900,417,23900,507,2510,90.8,3920,33100,120000,98400,457,4240,11800,3.61,W40x324,40,324
,W1000x443,*,1,,3,1012,402,41.9,23.6,4.8,39.3,73,42,1000,443,56400,9670,19100,414,21800,455,2260,89.8,3530,25400,107000,97500,411,3850,10700,3.58,W40x297,40,297
,W1000x412,*,1,,3,1008,402,40,21.1,5.03,44,72,41,1000,412,52500,9100,18100,416,20500,434,2160,90.9,3350,21400,102000,97300,391,3690,10100,3.58,W40x277,40,277
,W1000x371,*,1,,3,1000,400,36.1,19,5.54,48.8,68,40,1000,371,47300,8140,16300,415,18400,386,1930,90.3,2980,15900,89600,96400,348,3310,9000,3.56,W40x249,40,249
,W1000x321,*,1,,3,990,400,31,16.5,6.45,56.2,63,38,1000,321,40900,6960,14100,413,15800,331,1660,90,2550,10300,76100,95900,297,2850,7720,3.55,W40x215,40,215
,W1000x296,*,1,,3,982,400,27.1,16.5,7.38,56.2,59,38,1000,296,37800,6200,12600,405,14300,290,1450,87.6,2240,7640,66000,95500,259,2480,6950,3.53,W40x199,40,199
*,W1000x584,*,1,,3,1056,314,64,36.1,2.45,25.7,96,48,1000,584,74500,12500,23600,409,28100,334,2130,67,3480,71700,82300,77900,391,4410,13900,3.3,W40x392,40,392
,W1000x494,*,1,,3,1036,309,54,31,2.86,29.9,86,46,1000,494,62900,10300,19800,404,23400,268,1740,65.3,2820,44000,64700,75900,316,3690,11500,3.25,W40x331,40,331
,W1000x486,*,1,,3,1036,308,54.1,30,2.85,30.9,86,45,1000,486,61900,10200,19700,406,23200,266,1730,65.5,2790,42900,64100,75600,315,3690,11400,3.24,W40x327,40,327
,W1000x438,*,1,,3,1026,305,49,26.9,3.11,34.5,81,43,1000,438,55600,9090,17700,404,20700,234,1530,64.8,2460,31800,55700,74500,278,3330,10200,3.22,W40x294,40,294
,W1000x415,*,1,,3,1020,304,46,25.9,3.3,35.8,78,43,1000,415,52800,8520,16700,402,19500,217,1430,64.1,2300,27000,51500,74000,259,3110,9600,3.2,W40x278,40,278
,W1000x393,*,1,,3,1016,303,43.9,24.4,3.45,38,75,42,1000,393,50000,8080,15900,402,18500,205,1350,64,2170,23300,48400,73600,245,2970,9090,3.2,W40x264,40,264
,W1000x350,*,1,,3,1008,302,40,21.1,3.78,44,72,41,1000,350,44500,7230,14300,403,16600,185,1220,64.4,1940,17200,43200,73100,221,2720,8120,3.18,W40x235,40,235
,W1000x314,*,1,,3,1000,300,35.9,19.1,4.18,48.6,67,40,1000,314,40000,6440,12900,401,14900,162,1080,63.7,1710,12600,37700,72300,195,2430,7250,3.16,W40x211,40,211
,W1000x272,*,1,,3,990,300,31,16.5,4.84,56.2,63,38,1000,272,34700,5540,11200,400,12800,140,933,63.5,1470,8350,32200,71900,167,2110,6240,3.15,W40x183,40,183
